ID,Item,Itemtype,Completion
1750873464,The man downstairs played his stereo much too,English,loudly
1750873464,Marsha knew the guests could remain eating appetizers for at least another,English,hour
1750873464,The boss of the store where he worked afternoons refused to give him a,English,raise
1750873464,Everyone was honking at the old man who was driving too,English,slowly
1750873464,She had to leave the movie when the baby started to,English,cry
1750873464,Man kann die Tür nicht öffnen with the wrong,code_switching,key
1750873464,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",code_switching,answers
1750873464,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,code_switching,milk
1750873464,My roommate from Berlin left the dirty dishes in the,English,sink
1750873464,"Dass er aufgewachsen war im Süden, you could tell by his",code_switching,accent
1750873464,Die Kühe liefen von der Sonne weg into the cool,code_switching,shade
1750873464,Paul painted the clown's suit blue and gave him a big red,English,nose
1750873464,"Ich begrüßte ihn, aber I could not remember his",code_switching,name
1750873464,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their ",code_switching,stripes
1750873464,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper
1750873464,The inmates in prison were planning their,English,escape
1750873464,"Mike felt sorry, but it was not his",English,fault
1750873464,Most people in our country spend December 25th with their,English,family
1750873464,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't ",code_switching,forget
1750873464,The rude waiter in the restaurant was not given a,English,tip
1750873464,The groom took the bride's hand and placed the ring on her,English,finger
1750873464,The little girl refused to go to sleep until he told her a,English,story
1750873464,Die Jungen spielten Murmeln and the girls jumped,code_switching,higher
1750873464,Be careful because the top of the stove is very,English,hot
1750873464,Maria shut the front window and locked the back,English,
1750873464,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",code_switching,fork
1750873464,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",code_switching,night
1750873464,Sie sahen den Blitz and clearly heard the,code_switching,thunder
1750873464,The fourth grade math teacher could not see well without her thick,English,glasses
1750873464,"In caring for hospitalized patients, a doctor often needs the help of a",English,nurse
1750873464,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",code_switching,dark
1750873464,The office secretary mailed the letter without a,English,stamp
1750873464,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to ",code_switching,fall
1750873464,The surfer from Hawaii fell off his surfboard after the first big,English,wave
1750873464,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",code_switching,coffee
1750873464,Bill sprang in den See and made a big,code_switching,splash
1750873464,"Wenn du ins Bett gehst, turn off the",code_switching,light
1750873464,Der Vater in der Küche carved the turkey with a,code_switching,knife
1750873464,Alfonso has started biking to work instead of driving his,English,car
1750873464,Keine seiner Geschichten made any real,code_switching,impact
1750873464,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,code_switching,
1750873464,Ein Hund in guter Gesundheit has a good sense of,code_switching,smell
1750873464,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",English,answer
1750873464,Die meisten Haiangriffe passieren very close to,code_switching,shore
1750873464,I didn't like the show so I changed the,English,channel
1750873464,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",code_switching,glass
1750873464,The children from the school across from my house went outside to,English,play
1750873464,The schools closed down because the teachers decided to go on,English,strike
1750874407,The little girl refused to go to sleep until he told her a,English,story
1750874407,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",English,answer
1750874407,Die Kühe liefen von der Sonne weg into the cool,code_switching,shade
1750874407,Der Vater in der Küche carved the turkey with a,code_switching,knife
1750874407,Marsha knew the guests could remain eating appetizers for at least another,English,hour
1750874407,The boss of the store where he worked afternoons refused to give him a,English,raise
1750874407,My roommate from Berlin left the dirty dishes in the,English,sink
1750874407,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,code_switching,school
1750874407,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",code_switching,coffee
1750874407,Alfonso has started biking to work instead of driving his,English,car
1750874407,The children from the school across from my house went outside to,English,play
1750874407,Die meisten Haiangriffe passieren very close to,code_switching,shore
1750874407,The fourth grade math teacher could not see well without her thick,English,glasses
1750874407,The office secretary mailed the letter without a,English,stamp
