Group,number,inner_number,item,itemtype,Sentence_length,Sentence_words,Best_completion,Frequency,Length,Unexpected_word,Frequency,Length
A,1,1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,87,15,Paper,,5,Chalk,,5
B,2,2,"Bei der Versorgung von hospitalisierten Patienten, benötigt ein Artz oft the help of a ",code_switching,87,15,Nurse,,5,Drug,,4
A,3,3,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",code_switching,113,20,Fork,,4,Napkin,,6
B,4,4,"Das kleine Mädchen weigerte sich, schlafen zu gehen, until he told her a",code_switching,72,13,Story,,5,Secret,,6
A,5,5,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't ",code_switching,63,12,Forget,,6,Misspeak,,8
B,6,6,Die Häftlinge im Gefängnis were planning their,code_switching,46,7,Escape,,6,Party,,5
A,7,7,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their ",code_switching,66,12,Stripes,,7,Speed,,5
B,8,8,"Marsha wusste, dass die Gäste noch weiter Appetithäppchen essen könnten, und zwar for at least another ",code_switching,103,17,Hour,,4,Story,,5
A,9,9,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,code_switching,83,14,School,,6,Success,,7
B,10,10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,65,13,Finger,,6,Dresser,,7
A,11,11,Der Vater in der Küche carved the turkey with a,code_switching,47,10,Knife,,5,smile,,5
B,12,12,"Mike tat es leid, but it was not his",code_switching,36,9,Fault,,5,car,,3
A,13,13,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",code_switching,68,11,Names,,5,Grades,,6
B,14,14,Maria schloss das Fenster vorne and locked the back,code_switching,51,9,Door,,4,Room,,4
A,15,15,Man kann die Tür nicht öffnen with the wrong,code_switching,44,9,Key,,3,attitude,,8
B,16,16,Mir hat die Show nicht gefallen so I changed the,code_switching,48,10,Channel,,7,Cast,,4
A,17,17,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",code_switching,65,12,Dark,,4,Cold,,4
B,18,18,"Alfonso hat angefangen, mit dem Fahrrad zur Arbeit zu fahren, instead of driving his",code_switching,84,14,Car,,3,Friends,,7
A,19,19,Ein Hund in guter Gesundheit has a good sense of,code_switching,48,10,Smell,,5,loyalty,,7
B,20,20,Die meisten Menschen in unserem Land spend December 25th with their,code_switching,67,11,Family,,6,Presents,,8
A,21,21,Sie sahen den Blitz and clearly heard the,code_switching,41,8,Thunder,,7,screams,,7
B,22,22,"Sie musste den Film verlassen, denn the baby started to",code_switching,55,10,Cry,,3,Smell,,5
A,23,23,"Ich begrüßte ihn, aber I could not remember his",code_switching,47,9,Name,,4,song,,4
B,24,24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the",code_switching,95,17,Phone,,5,Timer,,5
A,25,25,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",code_switching,82,13,Glass,,5,Toys,,4
B,26,26,Der unhöfliche Kellner im Restaurant was not given a,code_switching,52,9,Tip,,3,tray,,4
A,27,27,"Dass er aufgewachsen war im Süden, you could tell by his",code_switching,56,11,Accent,,6,clothes,,7
B,28,28,"Sei vorsichtig, denn der obere Teil of the stove is very ",code_switching,57,12,Hot,,3,dirty,,5
A,29,29,"Wenn du ins Bett gehst, turn off the",code_switching,36,8,Lights,,6,Sarcasm,,7
B,30,30,Paul malte den Anzug des Clowns blau und gab him a big red,code_switching,58,13,Nose,,4,balloon,,7
A,31,31,Bill sprang in den See and made a big,code_switching,37,9,Splash (?),,10,commotion,,9
B,32,32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a",code_switching,77,15,Raise,,5,drink,,5
A,33,33,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",code_switching,66,13,Night,,5,game,,4
B,34,34,Die Kinder der Schule vor meinem Haus went outside to,code_switching,53,10,Play,,4,look,,4
A,35,35,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,code_switching,66,11,Milk,,4,peas,,4
B,36,36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on",code_switching,68,11,Strike,,6,Praying,,7
A,37,37,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",code_switching,94,15,Coffee,,6,Scotch,,6
B,38,38,Mein Mitbewohner aus Berlin ließ the dirty dishes in the,code_switching,56,10,Sink,,4,trunk,,5
A,39,39,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to ",code_switching,80,16,"Fall (fallen, also stürzen)",,27,Vomit,,5
B,40,40,Die Mathelehrerin der vierten Klasse konnte nicht gut sehen without her thick,code_switching,77,12,Glasses,,7,dictionary,,10
A,41,41,Die meisten Haiangriffe passieren very close to,code_switching,47,7,Shore,,5,winter,,6
B,42,42,Alle hupten den alten Mann an who was driving too,code_switching,49,10,Slowly,,6,Erratically,,11
A,43,43,Keine seiner Geschichten made any real,code_switching,38,6,Sense,,5,fans,,4
B,44,44,Der Sekretär des Büros schickte the letter without a,code_switching,52,9,Stamp,,5,hesitation,,10
A,45,45,Die Kühe liefen von der Sonne weg into the cool,code_switching,47,10,Shade,,5,mud,,3
B,46,46,Der Mann nebenan spielte his stereo much too,code_switching,44,8,Loud,,4,late,,4
A,47,47,Die Jungen spielten Murmeln and the girls jumped,code_switching,48,8,Rope,,4,together,,8
B,48,48,Der Surfer aus Hawaii fiel von seinem Surfboard after the first big,code_switching,67,12,Wave,,4,bully,,5
C,49,49,Tim warf einen Stein and broke the,code_switching,34,7,Window,,6,Camera,,6
D,50,50,Steve verschüttete Kaffee all over his white,code_switching,44,7,Shirt,,5,couch,,5
C,51,51,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be",code_switching,67,13,Dangerous,,9,Expensive,,9
D,52,52,"Kalte, feuchte Witterung lässt ihre Gelenke schmerzen, deshalb nahm sie some aspirin for the",code_switching,92,14,Pain,,4,race,,4
C,53,53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft",code_switching,66,13,Music,,5,Slippers,,8
D,54,54,Das Schiff mit den weißen Segeln verschwand into the thick,code_switching,58,10,Fog,,3,smoke,,5
C,55,55,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too",code_switching,96,20,Short,,5,Ugly,,4
D,56,56,"Als das Wetter wärmer wurde, begann Mark, seine leichtere Jacke zu tragen, und zwar nicht his heavy winter",code_switching,106,18,Coat,,4,Underwear,,9
C,57,57,Er kaufte ihr eine Perlenkette for her,code_switching,38,7,Birthday,,8,collection,,10
D,58,58,Der junge Mann im Park must keep his pet on a,code_switching,45,11,Leash,,5,diet,,4
C,59,59,"Rachel liebt den Geruch von Tabak, but she can't stand all the",code_switching,62,12,Smoke,,5,lectures,,8
D,60,60,"Er hatte gerade genug Zeit, einen Kuchen zu kaufen und sich umzuziehen before the guests",code_switching,88,15,Arrived,,7,Phoned,,6
C,61,61,Das Eichhörnchen versteckte ein paar Nüsse in the big,code_switching,53,9,Tree,,4,basement,,8
D,62,62,Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his,code_switching,81,14,Lunch,,5,Clarinet,,8
C,63,63,"Er kündigte seinen Job und verließ seine Familie, so he could sail around the",code_switching,77,14,World,,5,Clock,,5
D,64,64,Berühre auf gar keinen Fall the sticky wet,code_switching,42,8,Paint,,5,clothes,,7
C,65,65,"Katzen lieben es, gekrault zu werden behind the",code_switching,47,8,Ears,,4,Collar,,6
D,66,66,Die weiße Möve tauchte ab and caught a,code_switching,38,8,Fish,,4,draft,,5
C,67,67,John fegte den Boden with a long,code_switching,32,7,Broom,,5,flourish,,8
D,68,68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another",code_switching,72,13,Blanket,,7,log,,3
C,69,69,"Anfangs lehnte der Junge es ab, aber eventually he changed his ",code_switching,63,12,Mind,,4,medication,,10
D,70,70,Rafael möchte den Wald schützen by guarding every,code_switching,50,8,Tree,,4,Campsite,,8
C,71,71,Es gab bunte Bilder on every single,code_switching,35,7,Wall,,4,Card,,4
D,72,72,Pam hatte am Ende der Reise no more clothes to,code_switching,46,10,Wear,,4,mend,,4
C,73,73,Sie züchteten Schweine on their,code_switching,31,5,Farm,,4,own,,3
D,74,74,Er entschied sich für deutschen Wein because the imported stuff was too,code_switching,71,12,Expensive,,9,Bitter,,6
C,75,75,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is",code_switching,76,15,Open,,4,broken,,6
D,76,76,Seine Haut war knallrot from spending time at the,code_switching,49,9,Beach,,5,Farm,,4
C,77,77,Phil nutzte die Pipette und tat einige drops in his,code_switching,51,10,Eyes,,4,fishtank,,8
D,78,78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct",code_switching,111,18,Order,,5,Reprimand,,9
C,79,79,Sharon trocknete die Schüsseln with a big,code_switching,41,7,Towel,,5,sigh,,4
D,80,80,Misch die Karten thoroughly before you,code_switching,38,6,Deal,,4,forget,,6
C,81,81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very",code_switching,76,12,Sharp,,5,heavy,,5
D,82,82,Das Kleinkind schrie ununterbrochen and upset her,code_switching,49,7,Mother,,6,stomach,,7
C,83,83,Die Mieter entschieden sich nach weiter steigenden Mietpreisen to take their landlord to,code_switching,89,13,Court,,5,breakfast,,9
D,84,84,"Als George nicht in sein Auto kam, kniete er sich hin und suchte under the bumper for the spare",code_switching,95,19,Key,,3,Cash,,4
C,85,85,Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the,code_switching,83,12,Truck,,5,Dock,,4
D,86,86,Es war ihr immer wichtig to be on,code_switching,33,8,Time,,4,guard,,5
C,87,87,Die Katze lag gerne curled up in Jill's,code_switching,40,8,Lap,,3,Hamper,,6
D,88,88,Unsere lang erwarteten Gäste should be arriving,code_switching,47,7,Soon,,4,hungry,,6
C,89,89,Jede Nacht um Mitternacht machten the boy scouts a huge,code_switching,55,10,Fire,,4,Igloo,,5
D,90,90,"Es regnet und ich habe alles vergessen: my coat, hat, and",code_switching,57,11,Umbrella,,8,keys,,4
C,91,91,Ich ließ mir vor kurzem eine neue Musikanlage einbauen in my brand new,code_switching,70,13,Car,,3,Office,,6
D,92,92,"Die Umzugsleute schienen es sehr zu genießen, to toss the boxes marked",code_switching,70,12,Fragile,,7,Ohio,,4
C,93,93,An heißen Tagen sonnen sich viele Leute on the nearest,code_switching,54,10,Beach,,5,roof,,4
D,94,94,Er mochte Zitrone und Zucker in his hot,code_switching,39,8,Tea,,3,sauce,,5
C,95,95,Es ist schwer zuzugeben when one is,code_switching,35,7,Wrong,,5,scared,,6
D,96,96,Nach dem Abendessen verbrachten sie viel Zeit over coffee just,code_switching,62,10,Talking,,7,Staring,,7
E,97,97,Der biologische Dünger helped enrich the,code_switching,40,6,Soil,,4,stink,,5
F,98,98,Das Problem mit meinem Freund Paul ist that he can't take a,code_switching,59,12,Joke,,4,test,,4
E,99,99,Die zwei Räuber trugen Waffen but they didn't,code_switching,45,8,Shoot,,5,Panic,,5
F,100,100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,64,11,Break,,5,Jog,,3
E,101,101,Vorsichtig platzierte er the violin under his,code_switching,45,7,Chin,,4,Chair,,5
F,102,102,Er legte eine saubere Decke on the clean,code_switching,40,8,Bed,,3,chair / floor / sofa,,20
E,103,103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,80,14,Rooms,,5,Freezers,,8
F,104,104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,98,15,Round,,5,White,,5
E,105,105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,84,13,Stand,,5,behave,,6
F,106,106,Nach dem Abendessen standen sie auf and washed the,code_switching,50,9,Dishes,,6,dog,,3
E,107,107,Er kratzte nach dem Mittagessen the cold food from his,code_switching,54,10,Plate,,5,floor,,5
F,108,108,"Es gab Durchzug, weil die kalte Luft reinkam durch die Tür and all the side",code_switching,75,15,Windows,,7,Paneling,,8
E,109,109,"Tracy und ihr Mann waren nicht katholisch, aber sie war froh, als der Priester welcomed their three",code_switching,99,17,Children,,8,Suggestions,,11
