participant,inner_number,Item,Itemtype,cloze_clean,cloze_probability
human,1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,paper,1
human,1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper,1
human,2,"Bei der Versorgung von hospitalisierten Patienten, benötigt ein Artz oft the help of a",code_switching,nurse,0.888888888888889
human,2,"In caring for hospitalized patients, a doctor often needs the help of a",English,nurse,0.842105263157895
human,3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",English,fork,0.777777777777778
human,3,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",code_switching,fork,1
human,4,"Das kleine Mädchen weigerte sich, schlafen zu gehen, until he told her a",code_switching,story,1
human,4,The little girl refused to go to sleep until he told her a,English,story,0.947368421052632
human,5,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't",code_switching,forget,1
human,5,He wrote himself a note so that he wouldn't,English,forget,0.888888888888889
human,6,Die Häftlinge im Gefängnis were planning their,code_switching,escape,0.833333333333333
human,6,The inmates in prison were planning their,English,escape,0.578947368421053
human,7,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their",code_switching,stripes,0.789473684210526
human,7,Giraffes are known for their long necks and zebras for their,English,stripes,1
human,8,Marsha knew the guests could remain eating appetizers for at least another,English,hour,0.947368421052632
human,8,"Marsha wusste, dass die Gäste noch weiter Appetithäppchen essen könnten, und zwar for at least another",code_switching,hour,0.944444444444444
human,9,Every morning Susan braids her little daughter's hair and helps her dress for,English,school,0.944444444444444
human,9,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,code_switching,school,1
human,10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,finger,1
human,10,The groom took the bride's hand and placed the ring on her,English,finger,0.947368421052632
human,11,Der Vater in der Küche carved the turkey with a,code_switching,knife,0.894736842105263
human,11,"In the kitchen, Father carved the turkey with a",English,knife,0.888888888888889
human,12,"Mike felt sorry, but it was not his",English,fault,0.842105263157895
human,12,"Mike tat es leid, but it was not his",code_switching,fault,0.833333333333333
human,13,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",code_switching,names,0.947368421052632
human,13,The teacher saw that some students were cheating and wrote down their,English,names,0.888888888888889
human,14,Maria schloss das Fenster vorne and locked the back,code_switching,door,0.944444444444444
human,14,Maria shut the front window and locked the back,English,door,0.947368421052632
human,15,Man kann die Tür nicht öffnen with the wrong,code_switching,key,0.684210526315789
human,15,You can't open the door with the wrong,English,key,0.888888888888889
human,16,I didn't like the show so I changed the,English,channel,0.578947368421053
human,16,Mir hat die Show nicht gefallen so I changed the,code_switching,channel,0.777777777777778
human,17,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",code_switching,dark,1
human,17,When the power went out we couldn't see anything and the house became,English,dark,0.833333333333333
human,18,Alfonso has started biking to work instead of driving his,English,car,1
human,18,"Alfonso hat angefangen, mit dem Fahrrad zur Arbeit zu fahren, instead of driving his",code_switching,car,1
human,19,A dog in good health has a good sense of,English,smell,0.611111111111111
human,19,Ein Hund in guter Gesundheit has a good sense of,code_switching,smell,0.526315789473684
human,20,Die meisten Menschen in unserem Land spend December 25th with their,code_switching,family,1
human,20,Most people in our country spend December 25th with their,English,family,0.947368421052632
human,21,Sie sahen den Blitz and clearly heard the,code_switching,thunder,0.947368421052632
human,21,They saw the lightening and clearly heard the,English,thunder,0.944444444444444
human,22,She had to leave the movie when the baby started to,English,cry,0.947368421052632
human,22,"Sie musste den Film verlassen, denn the baby started to",code_switching,cry,1
human,23,"I greeted him, but I could not remember his",English,names,1
human,23,"Ich begrüßte ihn, aber I could not remember his",code_switching,names,0.947368421052632
human,24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",English,door,0.526315789473684
human,24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the",code_switching,door,0.444444444444444
human,25,"After the hurricane shattered the window, the room was filled with broken",English,glass,0.944444444444444
human,25,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",code_switching,glass,0.842105263157895
human,26,Der unhöfliche Kellner im Restaurant was not given a,code_switching,tip,0.944444444444444
human,26,The rude waiter in the restaurant was not given a,English,tip,0.947368421052632
human,27,"Dass er aufgewachsen war im Süden, you could tell by his",code_switching,accent,0.789473684210526
human,27,That he had grown up in the South you could tell by his,English,accent,0.944444444444444
human,28,Be careful because the top of the stove is very,English,hot,1
human,28,"Sei vorsichtig, denn der obere Teil of the stove is very",code_switching,hot,0.777777777777778
human,29,"Wenn du ins Bett gehst, turn off the",code_switching,lights,0.842105263157895
human,29,When you go to bed turn off the,English,lights,0.888888888888889
human,30,Paul malte den Anzug des Clowns blau und gab him a big red,code_switching,nose,1
human,30,Paul painted the clown's suit blue and gave him a big red,English,nose,1
human,31,Bill jumped in the lake and made a big,English,splash,0.833333333333333
human,31,Bill sprang in den See and made a big,code_switching,splash,1
human,32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a",code_switching,raise,0.777777777777778
