ID,Item,Itemtype,Completion
1754596166,William played his stereo much too,E,loud.
1754596166,"Está lloviendo, y me olvidé de mi coat, hat, and",CS,umbrella
1754596166,No me gustó el espectáculo so I changed the,CS,channel
1754596166,Our special guests should be arriving,E,soon.
1754596166,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,nurse
1754596166,They saw the lightning and heard the,E,thunder
1754596166,Tom saltó en el lago and made a big,CS,splash
1754596166,Su piel estaba roja por haber pasado the day at the,CS,beach
1754596166,Le preguntaron al joyero si podía examinar the ring's huge,CS,diamond.
1754596166,El niño malo was sent to his,CS,room.
1754596166,The ship disappeared into the thick,E,fog.
1754596166,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,music
1754596166,No toque the sticky wet,CS,paint.
1754596166,"After dinner, they spent a long time over coffee just",E,talking.
1754596166,They decided to buy a small home and build an addition with two more,E,bedrooms
1754596166,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,fall
1754596166,Ella sacó su cabeza de debajo de la canilla y reached for a,CS,towel
1754596166,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,glass
1754596166,Patricia had never seen a spider get tangled up in its own,E,web.
1754596166,Ron bought a board for the window that was too long and then he bought one that was too,E,short
1754596166,He mailed the letter without a,E,stamp
1754596166,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,coffee
1754596166,La universidad no lo dejaba registrarse hasta que pagara las multas de demora on the borrowed,CS,books
1754596166,Ella pensó que she had seen a,CS,ghost
1754596166,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,lunch
1754596166,"While skiing, the instructor broke his",E,leg
1754596166,I just had a new sound system installed in my,E,car.
1754596166,El gato estaba acurrucado in Aunt Anna's,CS,lap.
1754596166,He decided to travel in Iran even though he knew it could be,E,dangerous
1754596166,Le gusta agregar limón y azúcar in his hot,CS,tea
1754596166,None of his books made any,E,sense.
1754596166,The prisoners were planning their,E,escape
1754596166,After lunch he scraped the cold food from his,E,plate.
1754596166,Un perro tiene un good sense of,CS,smell
1754596166,Carolina taught her two-year-old that the pictures are square and that the plates are,E,round
1754596166,Giraffes are known for their long necks and zebras for their,E,stripes
1754596166,"Cuando Andres llegó al restaurante inseperadamente, Lorenzo le trajo una silla from the adjacent",CS,room.
1754596166,He quit his job and left his family so that he could sail around the,E,world
1754596166,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,smoke.
1754596166,It is important to be on,E,time.
1754596166,The white seagull dove down and caught a,E,fish
1754596166,Él sabía que podía llamar a Chris incluso in the middle of the,CS,night
1754596166,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,coat
1754596166,El entró furtivamente al room without a,CS,sound
1754596166,"Cuando se fue la luz, the house became",CS,dark.
1754596166,Ten cuidado porque la parte de arriba del stove is very,CS,hot
1754596166,Shuffle the cards thoroughly before you,E,deal.
1754596166,"Tracy y su esposo no eran católicos, pero ella estaba contenta cuando un sacerdote cálidamente recibió a their three",CS,children
1754597166,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,coffee
1754597166,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,fall
1754597166,He decided to travel in Iran even though he knew it could be,E,dangerous
1754597166,"While skiing, the instructor broke his",E,leg
1754597166,El entró furtivamente al room without a,CS,sound
1754597166,The ship disappeared into the thick,E,fog
1754597166,"Cuando Andres llegó al restaurante inseperadamente, Lorenzo le trajo una silla from the adjacent",CS,room.
1754597166,No me gustó el espectáculo so I changed the,CS,channel
1754597166,El niño malo was sent to his,CS,room.
1754597166,William played his stereo much too,E,loud.
1754597166,I just had a new sound system installed in my,E,car.
1754597166,Ron bought a board for the window that was too long and then he bought one that was too,E,short
1754597166,Le preguntaron al joyero si podía examinar the ring's huge,CS,diamond.
1754597166,The prisoners were planning their,E,escape
1754597166,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,coat
1754597166,Tom saltó en el lago and made a big,CS,splash
1754597166,Ella sacó su cabeza de debajo de la canilla y reached for a,CS,towel
1754597166,They decided to buy a small home and build an addition with two more,E,bedrooms
1754597166,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,music
1754597166,After lunch he scraped the cold food from his,E,plate.
1754597166,Su piel estaba roja por haber pasado the day at the,CS,beach
1754597166,"Tracy y su esposo no eran católicos, pero ella estaba contenta cuando un sacerdote cálidamente recibió a their three",CS,children
1754597166,Giraffes are known for their long necks and zebras for their,E,stripes
1754597166,Shuffle the cards thoroughly before you,E,deal.
1754597166,The white seagull dove down and caught a,E,fish
1754597166,It is important to be on,E,time.
1754597166,No toque the sticky wet,CS,paint.
1754597166,"After dinner, they spent a long time over coffee just",E,talking.
1754597166,He mailed the letter without a,E,stamp
1754597166,Our special guests should be arriving,E,soon.
1754597166,Patricia had never seen a spider get tangled up in its own,E,web.
1754597166,He quit his job and left his family so that he could sail around the,E,world
1754597166,None of his books made any,E,sense.
1754597166,They saw the lightning and heard the,E,thunder
1754597166,"Cuando se fue la luz, the house became",CS,dark.
1754597166,Ten cuidado porque la parte de arriba del stove is very,CS,hot
1754597166,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,nurse
1754597166,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,smoke.
1754597166,Él sabía que podía llamar a Chris incluso in the middle of the,CS,night
1754597166,"Está lloviendo, y me olvidé de mi coat, hat, and",CS,umbrella
1754597166,Le gusta agregar limón y azúcar in his hot,CS,tea
1754597166,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,lunch
1754597166,Un perro tiene un good sense of,CS,smell
1754597166,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,glass
1754597166,Carolina taught her two-year-old that the pictures are square and that the plates are,E,round
1754597166,La universidad no lo dejaba registrarse hasta que pagara las multas de demora on the borrowed,CS,books
1754597166,Ella pensó que she had seen a,CS,ghost
1754597166,El gato estaba acurrucado in Aunt Anna's,CS,lap.
1756762060,They saw the lightning and heard the,E,thunder
1756762060,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,coffee
1756762060,"Tracy y su esposo no eran católicos, pero ella estaba contenta cuando un sacerdote cálidamente recibió a their three",CS,children
1756762060,Le gusta agregar limón y azúcar in his hot,CS,tea
1756762060,Shuffle the cards thoroughly before you,E,deal.
1756762060,It is important to be on,E,time.
1756762060,El entró furtivamente al room without a,CS,sound
1756762060,"Cuando Andres llegó al restaurante inseperadamente, Lorenzo le trajo una silla from the adjacent",CS,room.
1756762060,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,coat
1756762060,"Cuando se fue la luz, the house became",CS,dark.
1756762060,"After dinner, they spent a long time over coffee just",E,talking.
1756762060,He mailed the letter without a,E,stamp
1756762060,Tom saltó en el lago and made a big,CS,splash
1756762060,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,smoke.
1756762060,The prisoners were planning their,E,escape
1756762060,He decided to travel in Iran even though he knew it could be,E,dangerous
1756762060,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,lunch
1756762060,Giraffes are known for their long necks and zebras for their,E,stripes
1756762060,Le preguntaron al joyero si podía examinar the ring's huge,CS,diamond.
1756762060,The ship disappeared into the thick,E,fog.
1756762060,La universidad no lo dejaba registrarse hasta que pagara las multas de demora on the borrowed,CS,books
1756762060,Ella pensó que she had seen a,CS,ghost
1756762060,Ron bought a board for the window that was too long and then he bought one that was too,E,short
1756762060,They decided to buy a small home and build an addition with two more,E,bedrooms
1756762060,He quit his job and left his family so that he could sail around the,E,world
1756762060,No toque the sticky wet,CS,paint.
1756762060,Ella sacó su cabeza de debajo de la canilla y reached for a,CS,towel
1756762060,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,fall
1756762060,Our special guests should be arriving,E,soon.
1756762060,"Está lloviendo, y me olvidé de mi coat, hat, and",CS,umbrella
1756762060,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,nurse
1756762060,Ten cuidado porque la parte de arriba del stove is very,CS,hot
1756762060,Un perro tiene un good sense of,CS,smell
1756762060,After lunch he scraped the cold food from his,E,plate.
1756762060,El gato estaba acurrucado in Aunt Anna's,CS,lap.
1756762060,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,glass
1756762060,"While skiing, the instructor broke his",E,leg
1756762060,Él sabía que podía llamar a Chris incluso in the middle of the,CS,night
1756762060,Su piel estaba roja por haber pasado the day at the,CS,beach
1756762060,William played his stereo much too,E,loud.
1756762060,El niño malo was sent to his,CS,room.
1756762060,Carolina taught her two-year-old that the pictures are square and that the plates are,E,round
1756762060,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,music
1756762060,The white seagull dove down and caught a,E,fish
1756762060,None of his books made any,E,sense.
1756762060,I just had a new sound system installed in my,E,car.
1756762060,Patricia had never seen a spider get tangled up in its own,E,web.
1756762060,No me gustó el espectáculo so I changed the,CS,channel
1756762337,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,coffee
1756762337,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,lunch
1756762337,The prisoners were planning their,E,escape
1756762337,Ron bought a board for the window that was too long and then he bought one that was too,E,short
1756762337,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,glass
1756762337,They saw the lightning and heard the,E,thunder
1756762337,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,music
1756762337,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,smoke.
1756762337,"Cuando Andres llegó al restaurante inseperadamente, Lorenzo le trajo una silla from the adjacent",CS,room.
1756762337,"Cuando se fue la luz, the house became",CS,dark.
1756762337,No toque the sticky wet,CS,paint.
1756762337,"After dinner, they spent a long time over coffee just",E,talking.
1756762337,"Está lloviendo, y me olvidé de mi coat, hat, and",CS,umbrella
1756762337,Su piel estaba roja por haber pasado the day at the,CS,beach
1756762337,They decided to buy a small home and build an addition with two more,E,bedrooms
1756762337,William played his stereo much too,E,loud.
1756762337,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,fall
1756762337,El entró furtivamente al room without a,CS,sound
1756762337,None of his books made any,E,sense.
1756762337,He mailed the letter without a,E,stamp
1756762337,Tom saltó en el lago and made a big,CS,splash
1756762337,It is important to be on,E,time.
1756762337,"Tracy y su esposo no eran católicos, pero ella estaba contenta cuando un sacerdote cálidamente recibió a their three",CS,children
1756762337,Patricia had never seen a spider get tangled up in its own,E,web.
