inner_number,Item,Itemtype,cloze_clean,n,total,cloze_probability,participant
1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,paper,18,18,1,claude
1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper,19,19,1,claude
10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,finger,18,18,1,claude
10,The groom took the bride's hand and placed the ring on her,English,finger,19,19,1,claude
100,After two hours of hard work they decided to take a short,English,break,26,26,1,claude
100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,break,22,22,1,claude
101,He carefully positioned the violin under his,English,chin,22,22,1,claude
101,Vorsichtig platzierte er the violin under his,code_switching,chin,26,26,1,claude
102,Er legte eine saubere Decke on the clean,code_switching,bed,22,22,1,claude
102,He put a new sheet on the clean,English,bed,26,26,1,claude
103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,bedrooms,26,26,1,claude
103,They decided to buy a small home and built an addition with two more,English,bedrooms,22,22,1,claude
104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,round,22,22,1,claude
104,Cindy taught her two-year old that the pictures are square and that the plates are,English,round,26,26,1,claude
105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,stand,22,22,1,claude
105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,stand,26,26,1,claude
106,After dinner they got up and washed the,English,dishes,26,26,1,claude
106,Nach dem Abendessen standen sie auf and washed the,code_switching,dishes,22,22,1,claude
107,After lunch he scraped the cold food from his,English,plate,22,22,1,claude
107,Er kratzte nach dem Mittagessen the cold food from his,code_switching,plate,26,26,1,claude
108,"Es gab Durchzug, weil die kalte Luft reinkam durch die Tür and all the side",code_switching,windows,22,22,1,claude
108,It was drafty because of the cold air leaking in through the door and all the side,English,windows,26,26,1,claude
109,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three",English,children,22,22,1,claude
109,"Tracy und ihr Mann waren nicht katholisch, aber sie war froh, als der Priester welcomed their three",code_switching,children,26,26,1,claude
11,Der Vater in der Küche carved the turkey with a,code_switching,knife,19,19,1,claude
11,"In the kitchen, Father carved the turkey with a",English,knife,18,18,1,claude
110,As soon as they reached the sand he stopped to take off his,English,shoes,26,26,1,claude
110,"Sobald sie am Sand angekommen waren, hielt er an to take off his",code_switching,shoes,22,22,1,claude
111,Peter malte die Wände der Vogelausstellung blau an to resemble the,code_switching,sky,26,26,1,claude
111,Peter painted the walls of the bird exhibit light blue to resemble the,English,sky,22,22,1,claude
112,"After a warning, the bad boy was sent to his",English,room,26,26,1,claude
112,Nach einer Ermahnung wurde der böse Junge sent to his,code_switching,room,22,22,1,claude
113,No one at the reunion recognized Dan because he had grown a,English,beard,22,22,1,claude
114,"After the skiing accident, Randy broke his",English,leg,26,26,1,claude
114,Nach dem Unfall beim Skifahren Randy broke his,code_switching,leg,22,22,1,claude
115,Das alte Klavier aus Italien was out of,code_switching,tune,26,26,1,claude
115,The old piano from Italy was out of,English,tune,22,22,1,claude
116,Das Kind kam auf die Welt with a rare,code_switching,condition,22,22,1,claude
116,The child was born with a rare,English,disease,26,26,1,claude
117,She pulled her head out from under the faucet and reached for a,English,towel,22,22,1,claude
117,Sie zog ihren Kopf unter dem Wasserhahn hervor and reached for a,code_switching,towel,26,26,1,claude
118,Er schlich sich in den room without a,code_switching,sound,22,22,1,claude
118,He crept into the room without a,English,sound,26,26,1,claude
119,Der Ausgang war gekennzeichnet by a large,code_switching,sign,26,26,1,claude
119,The exit was marked by a large,English,sign,22,22,1,claude
12,"Mike felt sorry, but it was not his",English,fault,19,19,1,claude
12,"Mike tat es leid, but it was not his",code_switching,fault,18,18,1,claude
120,Joe ging zum Baumarkt und kaufte Ersatzfenster at twice the original,code_switching,price,22,22,1,claude
120,Joe went to the hardware store and bought a replacement window at twice the original,English,price,26,26,1,claude
121,Sam could not believe her story was,English,true,22,22,1,claude
121,Sam konnte nicht glauben dass her story was,code_switching,true,26,26,1,claude
122,The Hausordnung erlaubte es Besuchern nicht to feed the,code_switching,animals,22,22,1,claude
122,The house rules did not allow visitors to feed the,English,animals,26,26,1,claude
123,Als Daniela ungeplannt im Restaurant auftachte gab Laurie ihm einen Stuhl from the adjacent,code_switching,table,26,26,1,claude
124,She honestly seriously thought she had seen a,English,ghost,26,26,1,claude
124,"Sie dachte tatsächlich ernsthaft, dass she had seen a",code_switching,ghost,22,22,1,claude
125,"After the jeweler was asked, he would examine the ring's huge",English,diamond,22,22,1,claude
