ID,Gender,Education,Age,Country,State,OtherLang,SpanishVariety,EnglishVariety
1754596166,Female,Some college,33,United States,Texas,NA,Mexican,Mainstream US English
1754597166,Female,High school,31,United states,Pennsylvania,N/A,Mexican,Mainstream US English
1756762060,Male,4-year degree (e.g. B.A.%2C B.Sc.),30,United States,California,NA,Mexican,American English
1756762337,Female,2-year degree (e.g. A.A.%2C A.S.),27,USA,California,NA,Mexican,mainstream us english
1756763037,Male,High school,28,USA,Michigan,n/a,Mexican,Mainstream
1756763050,Male,4-year degree (e.g. B.A.%2C B.Sc.),34,USA,California,NA,Mexican,Mainstream US English
1756763443,Male,2-year degree (e.g. A.A.%2C A.S.),35,United States,Idaho,NA,Mexican,Mainstream US
1756763488,Male,Some college,25,United States,Texas,none,Mexican,mainstream us english
1756763881,Female,4-year degree (e.g. B.A.%2C B.Sc.),23,United States,California,NA,Mexican,Mainstream US English
1756763889,Female,High school,29,United States,GA,N/A,Mexican/Dominican,US English
1756764184,Male,2-year degree (e.g. A.A.%2C A.S.),31,US,Florida,NA,Puerto rican,US English
1756764819,Female,Some college,27,United States,Ohio,NA,Mexican / Castilian,Mainstream US English
1756765109,NA,4-year degree (e.g. B.A.%2C B.Sc.),24,United States,Florida,no other,Puerto Rican,US English
1756765127,Female,4-year degree (e.g. B.A.%2C B.Sc.),24,United States,Massachusetts,Arabic - Since birth%2C ASL - since 4 years old,Mix - since I learned different ones growing up and throughout school.,Mainstream US English
1756765323,Male,Some college,32,USA,AZ,n/a,Mexican,Mainstream US English
1756765732,Female,Some college,34,United States,Connecticut,N/A,Cuban,Mainstream US English
1756766098,Male,Some college,31,usa,indiana,NA,salvadorian,english
1756766399,Female,4-year degree (e.g. B.A.%2C B.Sc.),27,USA,California,NA,Mexican,Mainstream US Language
1756767105,Male,4-year degree (e.g. B.A.%2C B.Sc.),22,united states,michigan,none,puerto-rican,mainstream
1756767154,Male,4-year degree (e.g. B.A.%2C B.Sc.),24,United States,NY,N/A,Mexican,US English
1756767743,Female,High school,30,United States,Texas,N/A,Mexican,Mainstream US English
1756769733,Female,4-year degree (e.g. B.A.%2C B.Sc.),26,United States,Arizona,NA,Mexican,Mainstream US
1756771208,Male,4-year degree (e.g. B.A.%2C B.Sc.),30,USA,VA,French%2C 0,Colombian,Mainstream US English
1756772014,Male,4-year degree (e.g. B.A.%2C B.Sc.),NA,United States of America,California,N/A,Mexican /and spanish,Mainstream US English
1756772114,Female,2-year degree (e.g. A.A.%2C A.S.),22,U.S,FL,NA,Venezuelan,U.S English
1756772362,Female,Some college,20,United States,NY,NA,Peruvian%2C Guatemalan,Long Island
1756773074,Male,High school,25,United States,california,NA,Mexican,US English
1756774835,Male,Some college,32,United States,Nevada,None,Mexican,US English
1756775237,Female,High school,27,United States,Texas,NA,Mexican,Mainstream US English
1756863165,Female,4-year degree (e.g. B.A.%2C B.Sc.),23,United States,California,N/A,Colombian,Mainstream US English
1756863550,Male,4-year degree (e.g. B.A.%2C B.Sc.),31,USA,Texas,NA,Central American,US English
1756864060,Male,2-year degree (e.g. A.A.%2C A.S.),22,USA,OR,Japanese%2C French%2C and Korean. Iâ€™ve learn them when I was 20 and still learning.,Mexican,Mainstream
1756864806,Female,4-year degree (e.g. B.A.%2C B.Sc.),25,USA,Illinois,N/A,Mexican,Mainstream US english
1756865908,Male,High school,24,United States,California,NA,Mexican,US English
1756867156,Female,4-year degree (e.g. B.A.%2C B.Sc.),30,united states,New Jersey,n/a,Dominican,US English
1756867190,Female,High school,34,United States,California,n/a,Mexican,Mainstream US English
1756867522,Female,2-year degree (e.g. A.A.%2C A.S.),22,United States,Arizona,Not applicable,Mexican,Mainstream US English
1756868057,Female,4-year degree (e.g. B.A.%2C B.Sc.),27,U.S,IN,None,Mexican,America English
1756868323,Female,PhD/MD/JD or other field-specific doctorate,33,United States,Oregon,NA,Cuban,Mainstream
1756869029,Female,4-year degree (e.g. B.A.%2C B.Sc.),27,USA,NY,italian. 22,Colombian,Mainstream US English
1756870980,Female,4-year degree (e.g. B.A.%2C B.Sc.),32,United states,Pennsylvania,NA,Puerto Rican,English
1756871245,Female,4-year degree (e.g. B.A.%2C B.Sc.),25,USA,California,NA,Mexican,US
1756871377,Female,Some college,32,United States,Nevada,N/A,Mexican,US English
1756872398,Male,Some college,28,USA,Texas,None,Mexican american,Mainstream
1756872679,Female,Some college,25,United States,IL,NA,Mexican,mainstream english
1756872725,Male,4-year degree (e.g. B.A.%2C B.Sc.),33,United States of America,New Jersey,None,Mexican,Mainstream US English
1756877579,Male,4-year degree (e.g. B.A.%2C B.Sc.),29,United States,Arizona,NA,Mexican%2C Colombian (Wifeâ€™s family is Colombian),Mainstream English USA
1756878960,Female,4-year degree (e.g. B.A.%2C B.Sc.),24,United States,Texas,ASL - 24,Mexican,Mainstream/south
1756889988,Female,2-year degree (e.g. A.A.%2C A.S.),30,United States,IA,NA,Mexican,Mainstream US English
1756892242,Male,Some college,19,United States,CA,NA,Mexican,Mainstream US English
1756895089,Male,4-year degree (e.g. B.A.%2C B.Sc.),28,United States,Florida,N/A; I only speak English and Spanish.,Cuban and Dominican Spanish,Mainstream US English
