participant,InnerNumber,Item,Itemtype,n,total,cloze_clean,cloze_probability
human,1,Nora couldn't take the message because she didn't have a pencil or a piece of,E,19,19,paper,1
human,1,Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of,CS,18,18,paper,1
human,2,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,24,29,nurse,0.827586206896552
human,2,"In caring for hospitalized patients, a doctor often needs the help of a",E,19,19,nurse,1
human,3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",E,18,19,fork,0.947368421052632
human,3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,8,18,fork,0.444444444444444
human,4,La niñita se negó a dormirse hasta que he told her a,CS,19,20,story,0.95
human,4,The little girl refused to go to sleep until he told her a,E,16,16,story,1
human,5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,17,19,alone,0.894736842105263
human,5,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live,E,15,16,alone,0.9375
human,6,Patricia had never seen a spider get tangled up in its own,E,29,29,web,1
human,6,Patricia nunca había visto a una araña enredarse in its own,CS,16,18,web,0.888888888888889
human,7,El se escribió una nota so he wouldn't,CS,18,19,forget,0.947368421052632
human,7,He wrote himself a note so that he wouldn't,E,17,17,forget,1
human,8,Los prisioneros estaban planning their,CS,17,19,escape,0.894736842105263
human,8,The prisoners were planning their,E,29,29,escape,1
human,9,Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing,CS,18,19,smoke,0.947368421052632
human,9,Every winter you see the Hernandez house and its huge chimney with puffs of billowing,E,18,18,smoke,1
human,10,Giraffes are known for their long necks and zebras for their,E,29,29,stripes,1
human,10,Las jirafas son conocidas por sus cuellos largos y las zebras for their,CS,18,19,stripes,0.947368421052632
human,11,Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another,CS,17,17,hour,1
human,11,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another,E,20,20,hour,1
human,12,Every morning Susan braids her little girl's hair then helps her dress for,E,19,19,school,1
human,12,"Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for",CS,18,18,school,1
human,13,El novio tomó la mano de la novia y le colocó the ring on her,CS,17,18,finger,0.944444444444444
human,13,The groom took the bride's hand and placed the ring on her,E,19,19,finger,1
human,14,El pequeño cachorro creció to be a huge,CS,17,20,dog,0.85
human,14,The little puppy grew up to be a huge,E,17,17,dog,1
human,15,Father carved the turkey with a,E,17,17,knife,1
human,15,Papá trinchó el turkey with a,CS,18,20,knife,0.9
human,16,After the meeting I added my name to the,E,15,17,list,0.882352941176471
human,16,"Después de la reunión, agregué mi name to the",CS,14,20,list,0.7
human,17,"Mike felt sorry, but it was not his",E,15,17,fault,0.882352941176471
human,17,"Mike sintió pena, pero it was not his",CS,16,20,fault,0.8
human,18,He tried to put the pieces of the broken plate back together with,E,18,18,glue,1
human,18,Intentó volver a juntar los pedazos del broken plate back together with,CS,18,19,glue,0.947368421052632
human,19,El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their,CS,14,17,names,0.823529411764706
human,19,The teacher saw that some students were cheating and wrote down their,E,19,20,names,0.95
human,20,Maria remembered to shut the front window and lock the back,E,16,17,door,0.941176470588235
human,20,María se acordó de cerrar la ventana delantera y lock the back,CS,19,20,door,0.95
human,21,No puedes abrir la puerta with the wrong,CS,16,17,key,0.941176470588235
human,21,You can't open the door with the wrong,E,16,20,key,0.8
human,23,"Cuando se fue la luz, the house became",CS,26,29,dark,0.896551724137931
human,23,When the power went out the house became,E,16,19,dark,0.842105263157895
human,24,Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his,CS,17,17,car,1
human,24,Alfonso has started biking to work instead of driving his,E,18,19,car,0.947368421052632
human,25,A dog has a good sense of,E,15,19,smell,0.789473684210526
human,25,Un perro tiene un good sense of,CS,21,29,smell,0.724137931034483
human,26,La mayoría de la gente pasa el 25 de December with their,CS,18,18,family,1
human,26,Most people spend December 25th with their,E,19,19,family,1
human,27,At night the old woman made sure to lock the,E,20,20,door,1
human,27,En la noche la mujer mayor made sure to lock the,CS,17,17,door,1
human,28,Ellos vieron el relámpago and heard the,CS,13,19,thunder,0.684210526315789
human,28,They saw the lightning and heard the,E,26,29,thunder,0.896551724137931
human,29,Ella tuvo que salir del cine cuando the baby started to,CS,15,17,cry,0.882352941176471
human,29,She had to leave the movie when the baby started to,E,20,20,cry,1
human,30,"I greeted him, but could not remember his last",E,19,20,name,0.95
human,30,"Lo saludé, pero no podía remember his last",CS,17,17,name,1
human,32,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",E,16,20,phone,0.8
human,32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,7,17,phone,0.411764705882353
human,33,"After the hurricane, the area around the window was filled with broken",E,18,19,glass,0.947368421052632
human,33,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,27,29,glass,0.931034482758621
human,35,La disputa fue resuelta by a third,CS,12,19,party,0.631578947368421
human,35,The dispute was settled by a third,E,16,18,party,0.888888888888889
human,36,Se notaba que había crecido en the South by his,CS,12,18,accent,0.666666666666667
human,36,You could tell he had grown up in the South by his,E,19,19,accent,1
human,37,Be careful because the top of the stove is very,E,17,19,hot,0.894736842105263
human,37,Ten cuidado porque la parte de arriba del stove is very,CS,28,29,hot,0.96551724137931
human,38,"Cuando te vayas a dormir, turn off the",CS,15,17,lights,0.882352941176471
human,38,When you go to bed turn off the,E,20,20,lights,1
human,39,"Cuando los dos se encontraron, uno de ellos held out his",CS,16,19,hand,0.842105263157895
human,39,"When the two met, one of them held out his",E,16,18,hand,0.888888888888889
human,40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,14,17,nose,0.823529411764706
human,40,Paul painted the clown's suit blue and gave him a big red,E,19,20,nose,0.95
human,41,Tom jumped in the lake and made a big,E,17,19,splash,0.894736842105263
human,41,Tom saltó en el lago and made a big,CS,26,29,splash,0.896551724137931
human,42,Josie found she could not bend the elbow of her broken,E,17,17,arm,1
human,42,Josie se dio cuenta de que no podía doblar the elbow of her broken,CS,16,18,arm,0.888888888888889
human,43,His boss refused to give him a,E,20,20,raise,1
human,43,Su jefe se negó to give him a,CS,14,17,raise,0.823529411764706
human,44,He knew that he could call Chris even if it was the middle of the,E,12,19,night,0.631578947368421
human,44,Él sabía que podía llamar a Chris incluso in the middle of the,CS,22,29,night,0.758620689655172
human,45,Los niños de la escuela went outside to,CS,17,17,play,1
human,45,The school children went outside to,E,19,19,play,1
human,46,Joan fed her baby some warm,E,16,18,milk,0.888888888888889
human,46,Joan le dio de comer a su baby some warm,CS,15,19,milk,0.789473684210526
human,47,Las escuelas se cerraron porque the teachers decided to go on,CS,17,19,strike,0.894736842105263
human,47,The schools closed down because the teachers decided to go on,E,13,18,strike,0.722222222222222
human,48,"Dentro de minutos de llegar al trabajo, el ejecutivo spilled his thermos full of",CS,12,19,coffee,0.631578947368421
human,48,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,26,29,coffee,0.896551724137931
human,49,Mi compañero de cuarto de Miami dejó the dirty dishes in the,CS,19,19,sink,1
human,49,My roommate from Miami left the dirty dishes in the,E,16,17,sink,0.941176470588235
human,50,Le descontaron una hora de pago for coming to work,CS,19,19,late,1
