InnerNumber,Item,Itemtype,cloze_clean,n,total,cloze_probability,participant
1,Nora couldn't take the message because she didn't have a pencil or a piece of,E,paper,19,19,1,claude
1,Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of,CS,paper,18,18,1,claude
2,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,nurse,29,29,1,claude
2,"In caring for hospitalized patients, a doctor often needs the help of a",E,nurse,19,19,1,claude
3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",E,fork,19,19,1,claude
3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,fork,18,18,1,claude
4,La niñita se negó a dormirse hasta que he told her a,CS,story,20,20,1,claude
4,The little girl refused to go to sleep until he told her a,E,story,17,17,1,claude
5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,alone,20,20,1,claude
5,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live,E,alone,17,17,1,claude
6,Patricia had never seen a spider get tangled up in its own,E,web,29,29,1,claude
6,Patricia nunca había visto a una araña enredarse in its own,CS,web,19,19,1,claude
7,El se escribió una nota so he wouldn't,CS,forget,20,20,1,claude
7,He wrote himself a note so that he wouldn't,E,forget,17,17,1,claude
8,Los prisioneros estaban planning their,CS,escape,19,19,1,claude
8,The prisoners were planning their,E,escape,29,29,1,claude
9,Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing,CS,smoke,19,19,1,claude
9,Every winter you see the Hernandez house and its huge chimney with puffs of billowing,E,smoke,18,18,1,claude
10,Giraffes are known for their long necks and zebras for their,E,stripes,29,29,1,claude
10,Las jirafas son conocidas por sus cuellos largos y las zebras for their,CS,stripes,19,19,1,claude
11,Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another,CS,hour,17,17,1,claude
11,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another,E,hour,20,20,1,claude
12,Every morning Susan braids her little girl's hair then helps her dress for,E,school,19,19,1,claude
12,"Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for",CS,school,18,18,1,claude
13,El novio tomó la mano de la novia y le colocó the ring on her,CS,finger,18,18,1,claude
13,The groom took the bride's hand and placed the ring on her,E,finger,19,19,1,claude
14,El pequeño cachorro creció to be a huge,CS,dog,20,20,1,claude
14,The little puppy grew up to be a huge,E,dog,17,17,1,claude
15,Father carved the turkey with a,E,knife,17,17,1,claude
15,Papá trinchó el turkey with a,CS,knife,20,20,1,claude
16,After the meeting I added my name to the,E,list,17,17,1,claude
16,"Después de la reunión, agregué mi name to the",CS,list,20,20,1,claude
17,"Mike felt sorry, but it was not his",E,fault,17,17,1,claude
17,"Mike sintió pena, pero it was not his",CS,fault,20,20,1,claude
18,He tried to put the pieces of the broken plate back together with,E,glue,18,18,1,claude
18,Intentó volver a juntar los pedazos del broken plate back together with,CS,glue,19,19,1,claude
19,El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their,CS,names,17,17,1,claude
19,The teacher saw that some students were cheating and wrote down their,E,names,20,20,1,claude
20,Maria remembered to shut the front window and lock the back,E,door,17,17,1,claude
20,María se acordó de cerrar la ventana delantera y lock the back,CS,door,20,20,1,claude
21,No puedes abrir la puerta with the wrong,CS,key,17,17,1,claude
21,You can't open the door with the wrong,E,key,20,20,1,claude
23,"Cuando se fue la luz, the house became",CS,dark,29,29,1,claude
23,When the power went out the house became,E,dark,19,19,1,claude
24,Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his,CS,car,17,17,1,claude
24,Alfonso has started biking to work instead of driving his,E,car,20,20,1,claude
25,A dog has a good sense of,E,smell,19,19,1,claude
25,Un perro tiene un good sense of,CS,smell,29,29,1,claude
26,La mayoría de la gente pasa el 25 de December with their,CS,families,18,18,1,claude
26,Most people spend December 25th with their,E,family,19,19,1,claude
27,At night the old woman made sure to lock the,E,door,20,20,1,claude
27,En la noche la mujer mayor made sure to lock the,CS,door,17,17,1,claude
28,Ellos vieron el relámpago and heard the,CS,thunder,19,19,1,claude
28,They saw the lightning and heard the,E,thunder,29,29,1,claude
29,Ella tuvo que salir del cine cuando the baby started to,CS,cry,17,17,1,claude
29,She had to leave the movie when the baby started to,E,cry,20,20,1,claude
30,"I greeted him, but could not remember his last",E,name,20,20,1,claude
30,"Lo saludé, pero no podía remember his last",CS,name,17,17,1,claude
32,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",E,phone,20,20,1,claude
32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,phone,17,17,1,claude
33,"After the hurricane, the area around the window was filled with broken",E,glass,19,19,1,claude
33,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,glass,29,29,1,claude
35,La disputa fue resuelta by a third,CS,party,19,19,1,claude
35,The dispute was settled by a third,E,party,18,18,1,claude
36,Se notaba que había crecido en the South by his,CS,accent,18,18,1,claude
36,You could tell he had grown up in the South by his,E,accent,19,19,1,claude
37,Be careful because the top of the stove is very,E,hot,19,19,1,claude
37,Ten cuidado porque la parte de arriba del stove is very,CS,hot,29,29,1,claude
38,"Cuando te vayas a dormir, turn off the",CS,lights,17,17,1,claude
38,When you go to bed turn off the,E,light,20,20,1,claude
39,"Cuando los dos se encontraron, uno de ellos held out his",CS,hand,19,19,1,claude
39,"When the two met, one of them held out his",E,hand,18,18,1,claude
40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,nose,17,17,1,claude
40,Paul painted the clown's suit blue and gave him a big red,E,nose,20,20,1,claude
41,Tom jumped in the lake and made a big,E,splash,19,19,1,claude
41,Tom saltó en el lago and made a big,CS,splash,29,29,1,claude
42,Josie found she could not bend the elbow of her broken,E,arm,18,18,1,claude
42,Josie se dio cuenta de que no podía doblar the elbow of her broken,CS,arm,19,19,1,claude
43,His boss refused to give him a,E,raise,20,20,1,claude
43,Su jefe se negó to give him a,CS,raise,17,17,1,claude
44,He knew that he could call Chris even if it was the middle of the,E,night,19,19,1,claude
44,Él sabía que podía llamar a Chris incluso in the middle of the,CS,night,29,29,1,claude
45,Los niños de la escuela went outside to,CS,play,18,18,1,claude
45,The school children went outside to,E,play,19,19,1,claude
46,Joan fed her baby some warm,E,milk,18,18,1,claude
46,Joan le dio de comer a su baby some warm,CS,milk,19,19,1,claude
47,Las escuelas se cerraron porque the teachers decided to go on,CS,strike,19,19,1,claude
47,The schools closed down because the teachers decided to go on,E,strike,18,18,1,claude
48,"Dentro de minutos de llegar al trabajo, el ejecutivo spilled his thermos full of",CS,coffee,19,19,1,claude
48,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,coffee,29,29,1,claude
49,Mi compañero de cuarto de Miami dejó the dirty dishes in the,CS,sink,20,20,1,claude
49,My roommate from Miami left the dirty dishes in the,E,sink,17,17,1,claude
50,Le descontaron una hora de pago for coming to work,CS,late,19,19,1,claude
50,She was docked one hour's pay for coming to work,E,late,18,18,1,claude
51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,fall,19,19,1,claude
51,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,fall,29,29,1,claude
52,Nicole could not read very well without her thick,E,glasses,18,18,1,claude
52,Nicole no leía muy bien without her thick,CS,glasses,19,19,1,claude
53,La mayoría de los ataques de tiburones suceden very close to,CS,shore,17,17,1,claude
53,Most shark attacks occur very close to,E,shore,20,20,1,claude
55,Ninguno de sus books made any,CS,sense,19,19,1,claude
55,None of his books made any,E,sense,29,29,1,claude
56,He mailed the letter without a,E,stamp,29,29,1,claude
56,Él envió un letter without a,CS,stamp,19,19,1,claude
57,Las vacas se movieron del sun into the,CS,shade,17,17,1,claude
57,The cows moved from the sun into the,E,shade,20,20,1,claude
58,William played his stereo much too,E,loud,29,29,1,claude
58,William tocó su stereo much too,CS,loud,8,19,0.42105263157894735,claude
58,William tocó su stereo much too,CS,loudly,11,19,0.5789473684210527,claude
60,El surfista fue empujado de su tabla de surfear by the first,CS,wave,19,19,1,claude
60,The surfer was knocked off his surfboard by the first,E,wave,18,18,1,claude
61,Tim threw a rock and broke the,E,window,17,17,1,claude
61,Tim tiró una piedra and broke the,CS,window,20,20,1,claude
62,Ricardo spilled coffee all over his clean white,E,shirt,20,20,1,claude
62,Ricardo tiró el café all over his clean white,CS,shirt,17,17,1,claude
63,He decided to travel in Iran even though he knew it could be,E,dangerous,29,29,1,claude
63,Él decidió ir a Irán a pesar de que he knew it could be,CS,dangerous,19,19,1,claude
64,Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the,E,pain,19,19,1,claude
64,"El clima frío y húmedo le hace doler las articulaciones, así que ha estado tomando a lot of aspirin for the",CS,pain,18,18,1,claude
65,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,music,29,29,1,claude
65,Before she arrived he opened a bottle of wine and put on some soft,E,music,19,19,1,claude
66,El barco desapareció into the thick,CS,fog,19,19,1,claude
66,The ship disappeared into the thick,E,fog,29,29,1,claude
67,Ron bought a board for the window that was too long and then he bought one that was too,E,short,29,29,1,claude
67,Ron compró una tabla para la ventana que era demasiada larga y luego compró otra that was too,CS,short,19,19,1,claude
68,"A medida que el clima se volvió más cálido, Mark comenzó a usar su chaqueta más liviana en lugar de his heavy winter",CS,coat,19,19,1,claude
68,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,coat,29,29,1,claude
70,Jorge debe mantener su pet on a,CS,leash,17,17,1,claude
70,Jorge must keep his pet on a,E,leash,20,20,1,claude
71,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,smoke,29,29,1,claude
71,Rachel loves the smell of tobacco but she can't stand all the,E,smoke,19,19,1,claude
72,He had just enough time to buy a cake from the store and change his clothes before the guests,E,arrived,18,18,1,claude
72,Él tuvo tiempo justo para comprar un pastel en la tienda y cambiarse de ropa before the guests,CS,arrived,19,19,1,claude
73,La ardilla guardó some nuts in the,CS,tree,18,18,1,claude
73,The squirrel stored some nuts in the,E,tree,19,19,1,claude
74,Every morning before school his mother laid out his clothes and packed his,E,lunch,19,19,1,claude
74,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,lunch,29,29,1,claude
75,He quit his job and left his family so that he could sail around the,E,world,29,29,1,claude
75,Él dejó su trabajo y abandonó a su familia para poder sail around the,CS,world,19,19,1,claude
76,Don't touch the sticky wet,E,paint,19,19,1,claude
76,No toque the sticky wet,CS,paint,29,29,1,claude
77,Cats loved to be scratched gently behind the,E,ears,17,17,1,claude
77,Los gatos aman que los rasquen gently behind the,CS,ears,20,20,1,claude
78,La gaviota blanca se sumergió and caught a,CS,fish,19,19,1,claude
78,The white seagull dove down and caught a,E,fish,29,29,1,claude
79,Juan barrió el piso with a big,CS,broom,20,20,1,claude
79,Juan swept the floor with a big,E,broom,17,17,1,claude
80,He was cold most of the night and finally got up to get another,E,blanket,17,17,1,claude
80,Él pasó frío casi toda la noche y finalmente se levantó to get another,CS,blanket,20,20,1,claude
81,"Al principio el chico se negó, pero eventualmente he changed his",CS,mind,18,18,1,claude
81,"At first the boy refused, but eventually he changed his",E,mind,19,19,1,claude
82,Rafael quiere preservar el bosque nacional by guarding every,CS,tree,18,18,1,claude
82,Rafael wants to preserve the national forest by guarding every,E,tree,19,19,1,claude
84,Pamela did not have any clothes to,E,wear,18,18,1,claude
84,Pamela no tenía any clothes to,CS,wear,19,19,1,claude
85,Ellos criaban cerdos on their,CS,farm,17,17,1,claude
