"","inner_number","Item","Itemtype","cloze_clean","n","total","cloze_probability"
"1",1,"Nora couldn't take the message because she didn't have a pencil or a piece of","English","paper",18,18,1
"2",1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of","code_switching","paper",19,19,1
"3",2,"Bei der Versorgung von hospitalisierten Patienten, benötigt ein Artz oft the help of a ","code_switching","assistant",2,18,0.111111111111111
"4",2,"Bei der Versorgung von hospitalisierten Patienten, benötigt ein Artz oft the help of a ","code_switching","nurse",16,18,0.888888888888889
"5",2,"In caring for hospitalized patients, a doctor often needs the help of a","English","assistant",2,19,0.105263157894737
"6",2,"In caring for hospitalized patients, a doctor often needs the help of a","English","nurse",16,19,0.842105263157895
"7",2,"In caring for hospitalized patients, a doctor often needs the help of a","English","staff",1,19,0.0526315789473684
"8",3,"After realizing he forgot utensils for his salad, the customer went back to get himself a","English","coleslaw",1,18,0.0555555555555556
"9",3,"After realizing he forgot utensils for his salad, the customer went back to get himself a","English","cucumber",1,18,0.0555555555555556
"10",3,"After realizing he forgot utensils for his salad, the customer went back to get himself a","English","fork",14,18,0.777777777777778
"11",3,"After realizing he forgot utensils for his salad, the customer went back to get himself a","English","sauce",1,18,0.0555555555555556
"12",3,"After realizing he forgot utensils for his salad, the customer went back to get himself a","English","spoon",1,18,0.0555555555555556
"13",3,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a","code_switching","fork",19,19,1
"14",4,"Das kleine Mädchen weigerte sich, schlafen zu gehen, until he told her a","code_switching","story",18,18,1
"15",4,"The little girl refused to go to sleep until he told her a","English","fairytale",1,19,0.0526315789473684
"16",4,"The little girl refused to go to sleep until he told her a","English","story",18,19,0.947368421052632
"17",5,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't ","code_switching","forget",19,19,1
"18",5,"He wrote himself a note so that he wouldn't","English","die",1,18,0.0555555555555556
"19",5,"He wrote himself a note so that he wouldn't","English","forget",16,18,0.888888888888889
"20",5,"He wrote himself a note so that he wouldn't","English","read",1,18,0.0555555555555556
"21",6,"Die Häftlinge im Gefängnis were planning their","code_switching","break",1,18,0.0555555555555556
"22",6,"Die Häftlinge im Gefängnis were planning their","code_switching","breakout",1,18,0.0555555555555556
"23",6,"Die Häftlinge im Gefängnis were planning their","code_switching","escape",15,18,0.833333333333333
"24",6,"Die Häftlinge im Gefängnis were planning their","code_switching","lunch",1,18,0.0555555555555556
"25",6,"The inmates in prison were planning their","English","birthday",1,19,0.0526315789473684
"26",6,"The inmates in prison were planning their","English","break",2,19,0.105263157894737
"27",6,"The inmates in prison were planning their","English","escape",11,19,0.578947368421053
"28",6,"The inmates in prison were planning their","English","jailbreak",1,19,0.0526315789473684
