"InnerNumber" "Item" "Itemtype" "n_tokens" "n_types" "type_token_ratio" "total" "n_idio" "proportion_idiosyncratic"
1 "Nora couldn't take the message because she didn't have a pencil or a piece of" "E" 19 1 0.0526315789473684 19 0 0
1 "Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of" "CS" 18 1 0.0555555555555556 18 0 0
2 "Al atender a pacientes hospitalizados, un médico a veces necesita the help of a" "CS" 29 6 0.206896551724138 29 5 0.172413793103448
2 "In caring for hospitalized patients, a doctor often needs the help of a" "E" 19 1 0.0526315789473684 19 0 0
3 "After realizing he forgot utensils for his salad, the customer went back to get himself a" "E" 19 2 0.105263157894737 19 1 0.0526315789473684
3 "Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a" "CS" 18 10 0.555555555555556 18 8 0.444444444444444
4 "La niñita se negó a dormirse hasta que he told her a" "CS" 20 2 0.1 20 1 0.05
4 "The little girl refused to go to sleep until he told her a" "E" 16 1 0.0625 16 0 0
5 "Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live" "CS" 19 2 0.105263157894737 19 0 0
5 "Ruby's grandchildren hired a live-in nurse because they thought she was too old to live" "E" 16 2 0.125 16 1 0.0625
6 "Patricia had never seen a spider get tangled up in its own" "E" 29 1 0.0344827586206897 29 0 0
6 "Patricia nunca había visto a una araña enredarse in its own" "CS" 18 3 0.166666666666667 18 2 0.111111111111111
7 "El se escribió una nota so he wouldn't" "CS" 19 2 0.105263157894737 19 1 0.0526315789473684
7 "He wrote himself a note so that he wouldn't" "E" 17 1 0.0588235294117647 17 0 0
8 "Los prisioneros estaban planning their" "CS" 19 3 0.157894736842105 19 2 0.105263157894737
8 "The prisoners were planning their" "E" 29 1 0.0344827586206897 29 0 0
9 "Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing" "CS" 19 2 0.105263157894737 19 1 0.0526315789473684
9 "Every winter you see the Hernandez house and its huge chimney with puffs of billowing" "E" 18 1 0.0555555555555556 18 0 0
10 "Giraffes are known for their long necks and zebras for their" "E" 29 1 0.0344827586206897 29 0 0
10 "Las jirafas son conocidas por sus cuellos largos y las zebras for their" "CS" 19 2 0.105263157894737 19 1 0.0526315789473684
11 "Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another" "CS" 17 1 0.0588235294117647 17 0 0
11 "Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another" "E" 20 1 0.05 20 0 0
12 "Every morning Susan braids her little girl's hair then helps her dress for" "E" 19 1 0.0526315789473684 19 0 0
12 "Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for" "CS" 18 1 0.0555555555555556 18 0 0
13 "El novio tomó la mano de la novia y le colocó the ring on her" "CS" 18 2 0.111111111111111 18 1 0.0555555555555556
13 "The groom took the bride's hand and placed the ring on her" "E" 19 1 0.0526315789473684 19 0 0
14 "El pequeño cachorro creció to be a huge" "CS" 20 4 0.2 20 3 0.15
14 "The little puppy grew up to be a huge" "E" 17 1 0.0588235294117647 17 0 0
15 "Father carved the turkey with a" "E" 17 1 0.0588235294117647 17 0 0
15 "Papá trinchó el turkey with a" "CS" 20 3 0.15 20 2 0.1
16 "After the meeting I added my name to the" "E" 17 2 0.117647058823529 17 0 0
16 "Después de la reunión, agregué mi name to the" "CS" 20 6 0.3 20 4 0.2
17 "Mike felt sorry, but it was not his" "E" 17 3 0.176470588235294 17 2 0.117647058823529
17 "Mike sintió pena, pero it was not his" "CS" 20 3 0.15 20 1 0.05
18 "He tried to put the pieces of the broken plate back together with" "E" 18 1 0.0555555555555556 18 0 0
18 "Intentó volver a juntar los pedazos del broken plate back together with" "CS" 19 2 0.105263157894737 19 1 0.0526315789473684
19 "El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their" "CS" 17 4 0.235294117647059 17 3 0.176470588235294
19 "The teacher saw that some students were cheating and wrote down their" "E" 20 2 0.1 20 1 0.05
20 "Maria remembered to shut the front window and lock the back" "E" 17 2 0.117647058823529 17 1 0.0588235294117647
20 "María se acordó de cerrar la ventana delantera y lock the back" "CS" 20 2 0.1 20 1 0.05
21 "No puedes abrir la puerta with the wrong" "CS" 17 2 0.117647058823529 17 1 0.0588235294117647
21 "You can't open the door with the wrong" "E" 20 3 0.15 20 0 0
23 "Cuando se fue la luz, the house became" "CS" 29 4 0.137931034482759 29 3 0.103448275862069
23 "When the power went out the house became" "E" 19 3 0.157894736842105 19 1 0.0526315789473684
24 "Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his" "CS" 17 1 0.0588235294117647 17 0 0
24 "Alfonso has started biking to work instead of driving his" "E" 19 2 0.105263157894737 19 1 0.0526315789473684
25 "A dog has a good sense of" "E" 19 5 0.263157894736842 19 4 0.210526315789474
25 "Un perro tiene un good sense of" "CS" 29 6 0.206896551724138 29 3 0.103448275862069
26 "La mayoría de la gente pasa el 25 de December with their" "CS" 18 1 0.0555555555555556 18 0 0
26 "Most people spend December 25th with their" "E" 19 1 0.0526315789473684 19 0 0
27 "At night the old woman made sure to lock the" "E" 20 1 0.05 20 0 0
27 "En la noche la mujer mayor made sure to lock the" "CS" 17 1 0.0588235294117647 17 0 0
28 "Ellos vieron el relámpago and heard the" "CS" 19 6 0.315789473684211 19 4 0.210526315789474
28 "They saw the lightning and heard the" "E" 29 3 0.103448275862069 29 1 0.0344827586206897
29 "Ella tuvo que salir del cine cuando the baby started to" "CS" 17 3 0.176470588235294 17 2 0.117647058823529
29 "She had to leave the movie when the baby started to" "E" 20 1 0.05 20 0 0
