ID,inner_number,Itemtype,Item,Completion,Best_completion,Unexpected_word,Sentence_length,Sentence_words,Language,English_tranlsation,cloze_clean,exclusion_explanation,exclusion_liberal,conservation_exclusion,comments
1750873464,35,code_switching,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,milk,Milk,peas,66,11,E,NA,milk,NA,NA,NA,NA
1750873464,42,English,Everyone was honking at the old man who was driving too,slowly,,,55,11,E,NA,slowly,NA,NA,NA,NA
1750873464,8,English,Marsha knew the guests could remain eating appetizers for at least another,hour,,,75,12,E,NA,hour,NA,NA,NA,NA
1750873464,46,English,The man downstairs played his stereo much too,loud.,,,45,8,E,NA,loud,NA,NA,NA,NA
1750873464,32,English,The boss of the store where he worked afternoons refused to give him a,raise,,,70,14,E,NA,raise,NA,NA,NA,NA
1750873464,13,code_switching,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",names,Names,Grades,68,11,E,NA,names,NA,NA,NA,NA
1750873464,20,English,Most people in our country spend December 25th with their,family,,,57,10,E,NA,family,NA,NA,NA,NA
1750873464,15,code_switching,Man kann die Tür nicht öffnen with the wrong,key,Key,attitude,44,9,E,NA,key,NA,NA,NA,NA
1750873464,38,English,My roommate from Berlin left the dirty dishes in the,kitchen.,,,52,10,E,NA,kitchen,NA,NA,NA,NA
1750873464,NA,code_switching,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their",stripes.,NA,NA,NA,NA,E,NA,stripes,NA,NA,NA,NA
1750873464,45,code_switching,Die Kühe liefen von der Sonne weg into the cool,shade,Shade,mud,47,10,E,NA,shade,NA,NA,NA,NA
1750873464,27,code_switching,"Dass er aufgewachsen war im Süden, you could tell by his",accent,Accent,clothes,56,11,E,NA,accent,NA,NA,NA,NA
1750873464,30,English,Paul painted the clown's suit blue and gave him a big red,nose.,,,57,12,E,NA,nose,NA,NA,NA,NA
1750873464,22,English,She had to leave the movie when the baby started to,cry.,,,51,11,E,NA,cry,NA,NA,NA,NA
1750873464,1,code_switching,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",paper,Paper,Chalk,87,15,E,NA,paper,NA,NA,NA,NA
1750873464,23,code_switching,"Ich begrüßte ihn, aber I could not remember his",name,Name,song,47,9,E,NA,name,NA,NA,NA,NA
1750873464,14,English,Maria shut the front window and locked the back,door,,,47,9,E,NA,door,NA,NA,NA,NA
1750873464,12,English,"Mike felt sorry, but it was not his",fault.,,,35,8,E,NA,fault,NA,NA,NA,NA
1750873464,6,English,The inmates in prison were planning their,escape.,,,41,7,E,NA,escape,NA,NA,NA,NA
1750873464,NA,code_switching,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't",forget,NA,NA,NA,NA,E,NA,forget,NA,NA,NA,NA
1750873464,47,code_switching,Die Jungen spielten Murmeln and the girls jumped,rope,Rope,together,48,8,E,NA,rope,NA,NA,NA,NA
1750873464,37,code_switching,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",coffee,Coffee,Scotch,94,15,E,NA,coffee,NA,NA,NA,NA
1750873464,10,English,The groom took the bride's hand and placed the ring on her,finger.,,,58,12,E,NA,finger,NA,NA,NA,NA
1750873464,21,code_switching,Sie sahen den Blitz and clearly heard the,thunder,Thunder,screams,41,8,E,NA,thunder,NA,NA,NA,NA
1750873464,28,English,Be careful because the top of the stove is very,hot,,,48,10,E,NA,hot,NA,NA,NA,NA
1750873464,3,code_switching,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",fork,Fork,Napkin,113,20,E,NA,fork,NA,NA,NA,NA
1750873464,33,code_switching,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",night.,Night,game,66,13,E,NA,night,NA,NA,NA,NA
1750873464,17,code_switching,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",dark,Dark,Cold,65,12,E,NA,dark,NA,NA,NA,NA
1750873464,2,English,"In caring for hospitalized patients, a doctor often needs the help of a",nurse.,,,71,13,E,NA,nurse,NA,NA,NA,NA
1750873464,40,English,The fourth grade math teacher could not see well without her thick,glasses.,,,66,12,E,NA,glasses,NA,NA,NA,NA
1750873464,9,code_switching,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,school,School,Success,83,14,E,NA,school,NA,NA,NA,NA
1750873464,48,English,The surfer from Hawaii fell off his surfboard after the first big,wave,,,65,12,E,NA,wave,NA,NA,NA,NA
1750873464,44,English,The office secretary mailed the letter without a,stamp,,,48,8,E,NA,stamp,NA,NA,NA,NA
1750873464,NA,code_switching,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to",fall.,NA,NA,NA,NA,E,NA,fall,NA,NA,NA,NA
1750873464,29,code_switching,"Wenn du ins Bett gehst, turn off the",light,Lights,Sarcasm,36,8,E,NA,light,NA,NA,NA,NA
1750873464,24,English,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",phone,,,81,15,E,NA,phone,NA,NA,NA,NA
1750873464,4,English,The little girl refused to go to sleep until he told her a,story,,,58,13,E,NA,story,NA,NA,NA,NA
1750873464,18,English,Alfonso has started biking to work instead of driving his,car,,,57,10,E,NA,car,NA,NA,NA,NA
1750873464,41,code_switching,Die meisten Haiangriffe passieren very close to,shore,Shore,winter,47,7,E,NA,shore,NA,NA,NA,NA
1750873464,11,code_switching,Der Vater in der Küche carved the turkey with a,knife,Knife,smile,47,10,E,NA,knife,NA,NA,NA,NA
1750873464,25,code_switching,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",glass,Glass,Toys,82,13,E,NA,glass,NA,NA,NA,NA
